hs6,hs_section,tariff_coef,std_err,t_stat,sig_1pct,dist_coef,epsilon_pt,epsilon_zeroed,flag_zero,flag_positive,flag_missing,nobs,status
480620,10,-6.2332384126330584,4.537082354113153,1.3738429074319607,FALSE,-1.5503095898068446,-5.2332384126330584,1,TRUE,FALSE,FALSE,50652,ok
480630,10,4.056915540716277,2.1634625038879927,1.8751956798074985,FALSE,-1.1745705477286577,5.056915540716277,1,TRUE,FALSE,FALSE,45318,ok
480640,10,-15.288602777502907,3.922296651980302,3.8978700832798934,TRUE,-1.2325036589821692,-14.288602777502907,-14.288602777502907,FALSE,FALSE,FALSE,49460,ok
480700,10,-10.356240192529603,1.535356477361495,6.745169832042372,TRUE,-1.3130924788688556,-9.356240192529603,-9.356240192529603,FALSE,FALSE,FALSE,72935,ok
480810,10,-17.526845948162972,1.377199408587063,12.72644022273044,TRUE,-2.026162716784433,-16.526845948162972,-16.526845948162972,FALSE,FALSE,FALSE,78757,ok
480820,10,-11.8967866636358,5.4158435937156355,2.1966636328716054,FALSE,-1.5879604514825463,-10.8967866636358,1,TRUE,FALSE,FALSE,22082,ok
480830,10,0.8806537471835235,1.7130987300395615,0.5140706322064614,FALSE,-1.0741369275899748,1.8806537471835236,1,TRUE,FALSE,FALSE,46168,ok
480890,10,-7.669927583796312,1.81407579255607,4.2280083419167545,TRUE,-1.1172156901997778,-6.669927583796312,-6.669927583796312,FALSE,FALSE,FALSE,75702,ok
480920,10,-8.425860455784594,1.777826131790612,4.739417598332935,TRUE,-1.5208250930999454,-7.425860455784594,-7.425860455784594,FALSE,FALSE,FALSE,66309,ok
480990,10,-5.506575941072292,1.4626255921783236,3.7648568235916176,TRUE,-0.9609794654795725,-4.506575941072292,-4.506575941072292,FALSE,FALSE,FALSE,68402,ok
481013,10,-10.478063722215168,1.4362479624192617,7.295442010281835,TRUE,-1.2192411719963157,-9.478063722215168,-9.478063722215168,FALSE,FALSE,FALSE,110796,ok
481014,10,-10.180031163393567,1.4146983971307747,7.195902097606268,TRUE,-1.2184710559202367,-9.180031163393567,-9.180031163393567,FALSE,FALSE,FALSE,110796,ok
481019,10,-8.841234632043589,1.368091471530308,6.462458699602912,TRUE,-1.22171540137049,-7.841234632043589,-7.841234632043589,FALSE,FALSE,FALSE,110796,ok
481022,10,-6.441614985774195,1.6986377111049418,3.7922241709705173,TRUE,-1.4188932594952253,-5.441614985774195,-5.441614985774195,FALSE,FALSE,FALSE,87370,ok
481029,10,-8.58793484570003,1.5327720050096245,5.602878195603595,TRUE,-1.0953345405756127,-7.58793484570003,-7.58793484570003,FALSE,FALSE,FALSE,115392,ok
481031,10,-9.44003288966518,1.5919935827059768,5.929692802919198,TRUE,-1.2346875226310776,-8.44003288966518,-8.44003288966518,FALSE,FALSE,FALSE,119779,ok
481032,10,-5.773787241400553,2.528068818967101,2.283872653340016,FALSE,-0.8184596161472368,-4.773787241400553,1,TRUE,FALSE,FALSE,119926,ok
481039,10,-18.563661559103597,1.6405447438417908,11.315547246600316,TRUE,-1.0467787284618828,-17.563661559103597,-17.563661559103597,FALSE,FALSE,FALSE,120196,ok
481092,10,-10.260480342682495,1.2030830800286223,8.528488608150312,TRUE,-1.4292419365429803,-9.260480342682495,-9.260480342682495,FALSE,FALSE,FALSE,123478,ok
481099,10,-9.159055215124571,1.2970128968016579,7.06165315526943,TRUE,-1.2428296687630571,-8.159055215124571,-8.159055215124571,FALSE,FALSE,FALSE,122138,ok
481110,10,-4.588924607404563,0.9757258939876837,4.703087860720941,TRUE,-1.4618627411901293,-3.5889246074045627,-3.5889246074045627,FALSE,FALSE,FALSE,119481,ok
481141,10,-5.746162764666645,1.1410860062870416,5.035696461973078,TRUE,-1.5537244498025156,-4.746162764666645,-4.746162764666645,FALSE,FALSE,FALSE,122740,ok
481149,10,-3.3864169309092715,0.9578485293197984,3.5354409671788964,TRUE,-1.34520426905181,-2.3864169309092715,-2.3864169309092715,FALSE,FALSE,FALSE,122020,ok
481151,10,-21.067436843878433,2.8083521841071706,7.501707571828701,TRUE,-0.9322071726819571,-20.067436843878433,-20.067436843878433,FALSE,FALSE,FALSE,119489,ok
481159,10,-10.778209087453885,1.5386352505534016,7.005044947187634,TRUE,-1.3871140169950285,-9.778209087453885,-9.778209087453885,FALSE,FALSE,FALSE,122460,ok
481160,10,-6.374103314866977,1.2808246570986854,4.9765619981938425,TRUE,-1.2961874781384362,-5.374103314866977,-5.374103314866977,FALSE,FALSE,FALSE,120084,ok
481190,10,-11.27473220146582,1.7147250826461595,6.575241894792068,TRUE,-1.143501218046413,-10.27473220146582,-10.27473220146582,FALSE,FALSE,FALSE,123025,ok
481200,10,-11.027066499081231,1.6705838830945348,6.600726016017259,TRUE,-1.1115142906088742,-10.027066499081231,-10.027066499081231,FALSE,FALSE,FALSE,60445,ok
481310,10,-0.7619684915529485,2.4028076261479816,0.3171158952805909,FALSE,-1.1215130814188352,0.23803150844705145,1,TRUE,FALSE,FALSE,42636,ok
481320,10,-10.24173187652884,1.3477434448811156,7.599170239282643,TRUE,-1.1083542617344788,-9.24173187652884,-9.24173187652884,FALSE,FALSE,FALSE,50925,ok
481390,10,-2.1852113542125293,2.1657062277510803,1.0090063583931712,FALSE,-1.2018624237241538,-1.1852113542125293,1,TRUE,FALSE,FALSE,56916,ok
481410,10,-21.42587850073255,3.098879991103809,6.914071716956273,TRUE,-1.3737184984224753,-20.42587850073255,-20.42587850073255,FALSE,FALSE,FALSE,15574,ok
481420,10,-12.42025668188181,1.7758956800615184,6.993798577995055,TRUE,-1.1707757871467055,-11.42025668188181,-11.42025668188181,FALSE,FALSE,FALSE,60287,ok
481490,10,-12.855277521857644,1.6360686574062595,7.857419347081528,TRUE,-1.081794065152352,-11.855277521857644,-11.855277521857644,FALSE,FALSE,FALSE,65815,ok
481620,10,-5.0722009575182625,1.5632596787799697,3.2446310912828062,TRUE,-1.5478597533089382,-4.0722009575182625,-4.0722009575182625,FALSE,FALSE,FALSE,53602,ok
481690,10,-5.225536220754622,1.3241370958392658,3.94637098920831,TRUE,-1.0125224500788146,-4.225536220754622,-4.225536220754622,FALSE,FALSE,FALSE,71863,ok
481710,10,-13.736919129464974,1.169355018088129,11.74743248797491,TRUE,-1.819375505461331,-12.736919129464974,-12.736919129464974,FALSE,FALSE,FALSE,90691,ok
481720,10,-12.613953172350683,2.134882261993889,5.908500621748475,TRUE,-0.8674965465796143,-11.613953172350683,-11.613953172350683,FALSE,FALSE,FALSE,65031,ok
481730,10,-14.774629810829747,1.3904101163397282,10.626094874600124,TRUE,-0.9729023368557521,-13.774629810829747,-13.774629810829747,FALSE,FALSE,FALSE,77871,ok
481810,10,-12.62955972337638,1.012289291469418,12.476235627311215,TRUE,-2.472829759244575,-11.62955972337638,-11.62955972337638,FALSE,FALSE,FALSE,103093,ok
481820,10,-10.765219798033584,0.8514752321113699,12.643021654710365,TRUE,-1.9258135409336923,-9.765219798033584,-9.765219798033584,FALSE,FALSE,FALSE,102185,ok
481830,10,-11.836375927701926,0.7899892145243819,14.982958893721218,TRUE,-1.9104777678730358,-10.836375927701926,-10.836375927701926,FALSE,FALSE,FALSE,94812,ok
481840,10,-8.9877958581154,1.3983971740044565,6.4272125438997465,TRUE,-1.7285535124260845,-7.987795858115399,-7.987795858115399,FALSE,FALSE,FALSE,113147,ok
481850,10,-2.738306082483378,1.9757054075910645,1.3859890609006007,FALSE,-0.694520637007754,-1.738306082483378,1,TRUE,FALSE,FALSE,61055,ok
481890,10,-8.469423041304445,1.095569544844123,7.730611973619137,TRUE,-1.3293597024008894,-7.469423041304445,-7.469423041304445,FALSE,FALSE,FALSE,92259,ok
481910,10,-8.632442134072114,0.7401059844907294,11.663791828425953,TRUE,-1.816553050491777,-7.6324421340721145,-7.6324421340721145,FALSE,FALSE,FALSE,126467,ok
481920,10,-9.042268279963467,0.9156551831621712,9.875189313881704,TRUE,-1.7386714095775828,-8.042268279963467,-8.042268279963467,FALSE,FALSE,FALSE,122248,ok
481930,10,-11.593592715286531,1.1872281779832816,9.765260739498546,TRUE,-1.676823012772199,-10.593592715286531,-10.593592715286531,FALSE,FALSE,FALSE,92396,ok
481940,10,-11.414395210274309,0.9146159142979585,12.479987535571999,TRUE,-1.5022101549257179,-10.414395210274309,-10.414395210274309,FALSE,FALSE,FALSE,104305,ok
481950,10,-11.259694342403062,2.1897788937109577,5.141932080330526,TRUE,-1.4564836587085468,-10.259694342403062,-10.259694342403062,FALSE,FALSE,FALSE,100992,ok
481960,10,-8.89749110644186,1.2455119055463475,7.143641957030471,TRUE,-1.395709691677329,-7.89749110644186,-7.89749110644186,FALSE,FALSE,FALSE,93333,ok
482010,10,-6.784690445570687,0.7504177610166308,9.041217836287759,TRUE,-1.1452241451896459,-5.784690445570687,-5.784690445570687,FALSE,FALSE,FALSE,111891,ok
482020,10,-9.132402438549668,0.7965856871296364,11.464431995328408,TRUE,-1.6132224484771769,-8.132402438549668,-8.132402438549668,FALSE,FALSE,FALSE,91161,ok
482030,10,-3.5184208954563583,2.022834963418284,1.7393514345385652,FALSE,-1.4560066101522502,-2.5184208954563583,1,TRUE,FALSE,FALSE,90997,ok
482040,10,-5.923603435174446,1.4330562145233232,4.133545757062162,TRUE,-1.5725173000796233,-4.923603435174446,-4.923603435174446,FALSE,FALSE,FALSE,70947,ok
482050,10,-5.672193542528428,0.8678077233061133,6.536233073518751,TRUE,-1.2182929696150442,-4.672193542528428,-4.672193542528428,FALSE,FALSE,FALSE,67809,ok
482090,10,-6.051140876675233,1.0872074560253935,5.565764696644886,TRUE,-1.2189536046476623,-5.051140876675233,-5.051140876675233,FALSE,FALSE,FALSE,102224,ok
482110,10,-1.0927943069757464,0.8626842496852472,1.2667372881496974,FALSE,-1.565612375558116,-0.09279430697574642,1,TRUE,FALSE,FALSE,124652,ok
482190,10,0.4016201097236103,0.789695261119892,0.5085760666134175,FALSE,-1.4256552673568381,1.4016201097236103,1,TRUE,FALSE,FALSE,104337,ok
482210,10,-5.8197970277362785,2.9874915293173223,1.9480547377706448,FALSE,-1.7198990419868374,-4.8197970277362785,1,TRUE,FALSE,FALSE,40777,ok
482290,10,-4.064351861654376,2.002541020626318,2.0295973065176973,FALSE,-1.7544557654003987,-3.0643518616543757,1,TRUE,FALSE,FALSE,60966,ok
482320,10,-6.040926996873479,1.5200294148152154,3.9742171684275287,TRUE,-0.9266896793323762,-5.040926996873479,-5.040926996873479,FALSE,FALSE,FALSE,80537,ok
482340,10,-3.379827465461003,1.5351350613905648,2.2016482786859606,FALSE,-1.231507199337072,-2.379827465461003,1,TRUE,FALSE,FALSE,70747,ok
482361,10,-6.377764730533587,1.0120507176165354,6.3018232382204715,TRUE,-1.6053959404986413,-5.377764730533587,-5.377764730533587,FALSE,FALSE,FALSE,88406,ok
482369,10,-6.513856919049013,1.0176138448927095,6.401108781824595,TRUE,-1.6022937330830633,-5.513856919049013,-5.513856919049013,FALSE,FALSE,FALSE,88406,ok
482370,10,-9.92469815222313,1.7729006381112185,5.5980002143811785,TRUE,-1.677602928283779,-8.92469815222313,-8.92469815222313,FALSE,FALSE,FALSE,76953,ok
482390,10,-5.925440301302425,0.7807431904457485,7.5894870090630215,TRUE,-1.3786153850286211,-4.925440301302425,-4.925440301302425,FALSE,FALSE,FALSE,139155,ok
